Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
"Thirumagondanahalli,Bangalore",2,2032,0.7
"LIC nivas,Nanja Reddy Colony, Jeevanbheemanagar,Bangalore",3,1400,1.5
"Srinagar, Banashankari,Bangalore",2,2000,2.6
"Kadugodi, Krishnarajapura,Bangalore",3,1000,0.7
"Yelahanka,Bangalore",5,4000,6.6
"Byrathi Kannur,Kannuru, Bangalore",5,5750,4.0
"Jettigana Halli, Hemmigepura,Bangalore",4,2400,1.25
"Ambedkar Nagar, Whitefield,Bangalore",7,4567,1.85
"Sadashiva Nagar, Armane Nagar,Bangalore",6,10500,40.0
"Kadugodi, Krishnarajapura,Bangalore",7,3000,1.45
"Manayata Tech Park, Nagavara,Bangalore",5,7400,12.0
"Sri Balaji Krupa Layout, R.K. Hegde Nagar,Bangalore",5,600,0.76
"Byadralli,Bangalore",4,3000,1.6
"Horamavu Agara, Horamavu,Bangalore",10,4500,2.2
"Sonappa Layout, Kodigehalli,Bangalore",5,3500,2.28
"Adityanagar, Vidyaranyapura,Bangalore",5,2600,1.05
"shiv niwas,M Vishveshvaraiah Nagar, Ramamurthy Nagar,Bangalore",4,3900,3.15
"Independent house banshankri 6th stage,Hemmigepura, Bangalore",3,2000,1.27
"Independent Bungalow JP Nagar Dollars Colony,7th Phase, JP Nagar,Bangalore",4,7500,12.5
"K C Krishna Reddy Layout, Margondanahalli,Bangalore",2,1000,0.85
"SUNRISE GK LAYOUT,Glass Factory Layout, Electronic City,Bangalore",4,1500,1.2
"Ambedkar Nagar, Whitefield,Bangalore",7,4650,1.85
"Nagashetty Halli, RMV Extension Stage 2,Bangalore",4,6832,18.5
"Bharath housingsociety layout uttarahalli,2 Stage, Uttarahalli Hobli,Bangalore",4,4600,3.24
"Horamavu Agara, Horamavu,Bangalore",5,4200,1.99
"Sonappa Layout, Kodigehalli,Bangalore",4,5000,2.6
"Rajiv Gandhi Nagar, Kodigehalli,Bangalore",8,4000,2.25
"Independent house in banshankri 6th stage,Hemmigepura, Bangalore",5,1200,2.75
"Bungalow Dallors Colony JP Nagar,4th Phase, JP Nagar,Bangalore",5,9500,13.5
"Hoysalanagar, Horamavu,Bangalore",5,2800,1.5
"Mattanahalli,Bangalore",3,1450,0.79
